Resource_ID,Type,Description,Tags,Risk_Level_Allowed,Link
C001,Hotline,"Immediate 24/7 crisis support for severe distress, suicidal ideation, and self-harm prevention.",suicide crisis emergency,1,Call 988
C002,Contact,"Campus Emergency Services for immediate physical safety threats.",emergency campus safety,1,Call Campus Security
C003,Text,"Crisis Text Line: Text HOME to 741741 for free, 24/7 crisis counseling.",text crisis anxiety,1,Text 741741
C004,Hotline,"The Trevor Project: Crisis intervention and suicide prevention for LGBTQ youth.",lgbtq crisis support,1,thetrevorproject.org
C005,Service,"Local Hospital Emergency Room (ER) for immediate psychiatric evaluation.",hospital medical emergency,1,Google Maps: Nearest ER
A001,Video,"A 5-minute deep breathing exercise to reduce physiological anxiety and improve sleep latency.",anxiety sleep breathing,0,youtube.com/breathing
A002,Exercise,"5-4-3-2-1 Grounding Technique to stop a panic attack in its tracks.",panic grounding focus,0,healthline.com/grounding
A003,Audio,"Progressive Muscle Relaxation (PMR) guide to release physical tension caused by stress.",tension physical relaxation,0,spotify.com/pmr
A004,Article,"How to manage 'Sunday Scaries' and anticipatory anxiety before the week starts.",anticipation worry weekend,0,psychcentral.com/sunday-scaries
A005,App,"Dare: An app specifically designed to help people challenge and overcome panic attacks.",app panic dare,0,dareapp.com
A006,Video,"Box Breathing technique used by Navy SEALs to regain control under high pressure.",stress control focus,0,youtube.com/box-breathing
A007,Article,"The physiological difference between anxiety and excitement: Re-framing your nerves.",mindset nerves reframing,0,theatlantic.com/anxiety-excitement
A008,Tool,"Worry Time: A CBT technique to schedule worry for a specific time of day instead of all day.",cbt worry scheduling,0,tools.com/worry-time
D001,Video,"Behavioral Activation: How to get out of bed when you feel zero motivation or energy.",depression motivation lethargy,0,youtube.com/behavioral-activation
D002,App,"Gratitude Journaling app to shift focus from negative automatic thoughts.",mood gratitude journaling,0,appstore.com/gratitude
D003,Article,"Understanding the difference between sadness and clinical depression.",education diagnosis sadness,0,nimh.nih.gov/depression
